40
1
4
0 26 28 38 39 1 33 11 14 16 5 17 29 4 24 19 36 3 8 32 34 25 13 30 18 12 35 2 23 40 31 37 27 6 9 20 22 15 7 10 21
26 28 38 39 33 37 27 31 40 22 23 35 30 25 34 32 21 24 36 29
15 10 7 12 18 13 2 20 9 6 1 11 14 16 5 17 19 3 8 4
12000   16000   0   4150
2849   18260   0   413   0
9645   3819   0   519   0
23858   21824   0   514   0
19191   20895   0   454   0
12224   27445   0   456   0
4285   8963   0   893   0
14804   10469   0   388   0
23748   18850   0   400   0
5820   7206   0   456   0
15768   10945   0   523   0
7708   22476   0   420   0
15025   5902   0   413   0
19110   2062   0   421   0
8129   24283   0   615   0
14322   12012   0   614   0
5339   26918   0   886   0
16129   27934   0   752   0
17404   4546   0   371   0
22965   24647   0   376   0
6724   7470   0   422   0
16646   13173   621   0   0
8626   10036   631   0   0
8606   5406   773   0   0
19979   19722   287   0   0
22578   5795   278   0   0
10403   17539   678   0   0
2804   12382   687   0   0
8526   17187   143   0   0
14016   23474   347   0   0
18623   1579   842   0   0
315   6937   412   0   0
21464   13536   509   0   0
2573   20902   833   0   0
21464   6497   312   0   0
13314   3762   352   0   0
22970   23813   594   0   0
706   13122   522   0   0
6538   17689   294   0   0
5414   17551   698   0   0
656   2006   180   0   0
