68
1
5
0 61 28 49 53 13 14 65 4 6 68 2 20 60 63 42 66 17 43 11 29 32 41 23 30 45 54 21 5 10 35 64 57 27 24 44 19 62 39 12 25 1 67 16 22 3 34 50 56 58 26 38 46 36 8 52 47 7 9 59 37 40 48 15 55 18 31 33 51
51 33 31 55 48 40 37 59 65 47 52 36 46 38 26 58 56 50 34 67 25 39 62 44 24 27 57 64 35 42 66 45 30 54 41 32 29 43 63 60 68 53 49 28 61
15 18 14 7 9 8 19 12 1 22 3 16 10 5 21 23 11 17 20 2 6 4 13
12000   16000   0   5100
4405   23028   0   1033   0
20807   3179   0   445   0
1595   26792   0   449   0
23808   13919   0   570   0
4385   8499   0   383   0
22935   9891   0   488   0
23316   19678   0   370   0
16691   26705   0   550   0
21138   20720   0   382   0
3231   9528   0   700   0
7968   1924   0   959   0
5198   24496   0   492   0
18699   14559   0   253   0
21168   16955   0   468   0
15587   18750   0   411   0
1645   22865   0   595   0
9384   5237   0   580   0
17063   17394   0   401   0
10207   24320   0   522   0
17785   6679   0   457   0
4666   7269   0   177   0
2669   26065   0   300   0
3582   4559   0   496   0
7030   19584   294   0   0
4782   23750   308   0   0
10955   26949   449   0   0
4099   18568   565   0   0
12892   12470   354   0   0
6769   1868   355   0   0
5083   4189   561   0   0
16857   16297   421   0   0
4260   261   422   0   0
14920   15820   509   0   0
2523   28304   486   0   0
5725   12909   387   0   0
16746   27401   102   0   0
17690   20651   184   0   0
15452   25042   222   0   0
7160   22746   470   0   0
14809   19534   200   0   0
2694   1755   371   0   0
7763   9095   575   0   0
8776   1203   453   0   0
10342   21855   707   0   0
6107   4176   269   0   0
15351   25506   539   0   0
23030   23323   358   0   0
15241   18706   625   0   0
15823   12257   679   0   0
2393   29321   318   0   0
13534   14151   575   0   0
17399   25481   954   0   0
20019   11742   205   0   0
4782   5230   501   0   0
16184   18380   306   0   0
4992   27225   707   0   0
6588   17326   236   0   0
10413   28982   508   0   0
19436   21403   548   0   0
13916   8631   461   0   0
11426   13699   590   0   0
7743   24565   522   0   0
11186   7915   501   0   0
8064   15092   1030   0   0
22709   16610   649   0   0
8104   7727   347   0   0
3045   22959   567   0   0
23893   952   811   0   0
